,Type,Gender,Officer-defined ethnicity,Object-of-search,Outcome,Outcome-linked-to-object-of-search,years,Age-min,Age-max
170,1,1,1,1,7,0,0,2,2
171,1,1,3,10,7,0,0,2,2
172,1,1,3,1,7,0,0,0,0
173,1,1,3,10,13,0,0,0,0
174,1,1,3,1,7,0,0,0,0
175,0,1,0,3,7,0,0,2,2
176,0,1,0,3,7,0,0,2,2
177,0,1,0,3,7,0,0,2,2
178,0,1,0,3,13,1,0,1,1
179,0,1,3,3,7,0,0,2,2
180,0,1,3,3,7,0,0,2,2
181,0,1,3,3,7,0,0,1,1
182,1,1,3,3,7,0,0,0,0
183,1,1,3,3,7,0,0,2,2
185,0,1,1,3,9,1,0,1,1
186,0,1,1,3,7,0,0,2,2
189,0,1,3,3,13,1,0,2,2
190,1,1,3,3,7,0,0,1,1
191,1,1,3,3,7,0,0,1,1
192,1,1,3,10,13,1,0,2,2
193,1,1,3,3,7,0,0,0,0
194,1,1,3,3,7,0,0,2,2
195,1,1,0,10,6,1,0,0,0
196,1,1,0,10,7,0,0,2,2
197,1,1,1,10,7,0,0,2,2
198,1,1,0,10,7,0,0,0,0
199,1,1,3,10,7,0,0,2,2
200,1,1,3,10,7,0,0,2,2
201,1,1,0,10,7,0,0,0,0
202,1,1,3,1,13,0,0,1,1
203,1,1,3,10,7,0,0,0,0
204,1,1,3,10,13,0,0,0,0
205,0,0,0,3,7,0,0,1,1
206,1,1,0,3,7,0,0,1,1
208,1,1,3,3,7,0,0,0,0
209,1,1,3,3,7,0,0,2,2
210,0,0,3,3,13,1,0,1,1
211,1,1,3,3,6,1,0,1,1
212,1,1,1,1,13,1,0,0,0
213,1,1,3,10,13,0,0,1,1
215,1,1,3,10,7,0,0,2,2
216,1,1,0,10,13,0,0,1,1
217,0,1,1,1,7,0,0,0,0
218,0,1,1,3,10,1,0,2,2
219,0,1,1,3,7,0,0,2,2
220,0,0,1,3,7,0,0,1,1
221,1,1,3,10,7,0,0,2,2
223,1,1,3,1,7,0,0,2,2
224,0,1,3,3,13,1,0,1,1
225,0,1,4,3,7,0,0,2,2
226,0,1,3,3,9,1,0,0,0
