,Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Vehicle Number,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
564,1,6,1,1,1,1,9,3,3,1,48
565,2,3,1,1,1,1,5,1,2,1,26
566,2,6,1,4,1,2,9,1,3,1,43
567,3,6,1,1,1,1,3,1,2,1,22
568,2,3,1,1,1,2,19,1,3,1,37
569,2,3,1,1,1,1,4,1,2,1,39
570,1,6,1,1,1,1,9,3,3,1,17
571,1,6,1,1,1,1,9,3,2,2,20
572,2,3,1,1,1,1,9,1,3,2,32
573,2,3,1,1,1,2,9,2,3,1,9
574,1,2,1,1,1,1,5,1,2,1,50
575,2,6,1,4,1,2,1,1,3,1,23
576,1,3,1,1,1,1,9,3,2,2,12
577,1,3,1,1,1,1,9,3,2,2,13
578,1,3,1,1,1,1,9,3,3,2,13
579,2,3,1,1,1,2,11,2,3,2,74
580,2,3,1,1,1,2,9,1,3,1,26
581,2,3,1,1,1,2,9,2,3,2,27
582,2,3,1,1,1,2,9,2,3,1,27
583,2,3,1,1,1,2,9,2,3,1,27
584,2,3,1,1,1,1,9,2,2,2,88
585,2,3,1,1,1,1,9,1,2,2,83
586,2,3,1,1,1,2,9,1,3,2,42
587,2,3,1,1,1,2,9,2,3,1,17
588,2,6,1,1,1,1,1,1,2,1,28
589,1,6,1,4,1,1,9,3,3,1,11
590,1,3,1,4,1,1,90,3,3,1,26
591,3,6,1,1,1,3,19,1,3,2,47
592,2,6,1,1,1,2,3,1,3,1,22
593,1,4,1,1,1,1,4,1,3,1,17
594,1,6,1,1,1,1,11,2,3,2,69
595,1,6,1,4,1,1,9,3,2,1,31
596,3,6,1,1,1,1,9,1,3,1,36
597,3,6,1,1,1,2,9,1,3,2,43
598,2,1,1,1,1,2,9,1,3,2,38
599,2,6,1,1,1,2,3,1,3,1,20
600,1,3,1,1,1,1,9,3,3,2,64
601,2,4,1,1,1,2,19,1,3,1,52
602,2,1,1,1,1,1,19,1,3,1,33
603,2,1,1,1,1,2,9,1,3,1,52
604,2,6,1,1,1,2,4,2,3,1,19
605,1,6,1,1,1,1,9,3,3,2,34
606,2,6,2,1,1,2,9,1,3,1,42
607,2,6,2,1,1,2,9,2,3,2,38
608,2,6,1,1,1,1,9,2,3,2,9
609,3,6,1,1,1,2,9,1,3,1,30
610,1,6,1,1,1,1,9,3,3,2,4
611,1,6,1,1,1,1,19,3,3,2,26
612,2,3,1,1,1,1,9,2,3,2,55
613,2,6,1,1,1,1,9,2,3,1,77
614,1,6,1,1,1,1,19,3,3,1,54
615,1,6,2,1,2,1,9,3,2,2,81
616,2,3,1,1,1,2,1,1,3,1,29
617,1,6,1,1,1,1,11,3,2,1,36
618,2,6,1,1,1,2,9,1,3,1,40
619,1,6,2,1,1,1,11,3,2,1,6
620,3,3,1,1,1,2,3,1,3,1,60
621,3,3,1,1,1,3,9,1,3,2,58
622,1,6,1,1,1,1,9,3,2,1,37
623,1,6,1,1,1,1,9,3,3,1,18
624,1,6,1,4,1,1,9,2,2,2,25
625,2,4,1,4,1,1,9,1,3,2,20
626,2,4,1,4,1,2,9,1,3,1,48
627,2,4,1,4,1,2,9,2,3,1,29
628,2,3,1,1,1,2,9,1,3,2,30
629,2,6,1,1,1,2,8,1,3,1,52
630,3,3,1,1,1,2,9,1,3,2,69
631,1,2,1,1,1,1,9,1,3,2,34
632,2,2,1,1,1,2,9,2,3,1,24
633,3,6,1,1,1,2,9,1,3,1,61
634,2,3,1,1,1,2,9,1,3,1,63
635,2,3,1,1,1,2,1,1,3,2,43
636,2,3,1,1,1,2,1,1,3,1,51
637,1,3,1,1,1,1,9,1,2,1,66
638,1,3,1,1,1,1,9,2,3,2,62
639,2,6,1,1,1,1,9,1,3,2,33
640,1,6,2,1,2,1,9,2,3,2,58
641,1,1,1,1,1,1,9,1,3,1,50
642,3,6,1,1,1,3,19,1,3,1,61
643,2,6,1,1,1,1,9,1,3,2,63
644,2,6,1,1,1,1,9,3,3,2,66
645,2,3,1,1,1,2,9,1,3,2,67
646,2,6,1,1,1,2,9,1,3,2,41
647,2,3,1,4,1,1,9,1,3,2,24
648,2,3,1,4,1,2,8,1,3,1,46
649,1,2,1,1,1,1,9,1,3,1,32
650,1,1,3,1,8,1,5,1,3,1,29
651,2,6,1,1,1,1,9,1,3,2,41
652,2,6,1,1,1,1,9,2,3,1,66
653,2,6,1,1,1,1,9,2,3,2,37
654,4,3,1,1,1,1,9,1,3,1,22
655,4,3,1,1,1,2,9,2,3,2,45
656,2,6,2,1,2,2,3,1,3,2,43
657,2,6,1,1,1,2,1,1,2,1,15
658,2,6,2,1,1,2,9,2,3,2,29
659,2,3,2,1,2,2,1,1,3,2,62
660,2,3,2,1,1,2,9,1,3,1,36
661,1,6,2,1,2,1,11,2,3,1,70
662,2,3,1,1,1,2,1,1,3,1,51
663,2,6,1,1,1,2,9,1,3,1,37
664,2,3,1,1,1,1,2,1,3,1,24
665,1,3,2,1,2,1,11,2,3,2,58
666,2,3,2,1,2,1,9,1,3,2,21
667,2,3,2,1,2,2,9,2,3,2,56
668,2,3,1,1,1,2,19,3,3,1,56
669,2,6,2,1,5,2,9,1,2,1,54
670,2,6,2,1,5,1,9,1,2,1,18
671,2,6,2,1,5,1,9,2,2,1,17
672,2,6,2,1,5,1,9,2,3,1,18
673,2,6,2,1,5,1,9,2,3,1,18
674,2,6,2,1,5,1,9,2,3,1,18
675,1,6,2,1,2,1,9,3,3,1,34
676,2,6,2,1,1,1,9,1,3,2,44
677,2,6,2,1,1,1,9,2,3,2,25
678,2,6,2,1,1,2,9,1,3,2,31
679,2,6,2,1,1,2,9,2,3,2,12
680,2,6,2,1,2,2,3,1,3,1,28
681,2,6,1,4,1,2,3,1,3,1,20
682,2,6,1,6,1,1,1,1,3,1,34
683,2,6,1,1,1,2,11,2,3,1,36
684,2,6,1,1,1,2,11,2,3,1,5
685,2,6,1,1,1,2,11,2,3,1,6
686,2,6,1,1,1,2,9,1,3,1,64
687,2,6,1,1,1,2,9,2,3,1,16
688,2,1,1,1,1,2,9,2,3,2,75
689,3,4,1,1,1,1,9,1,3,2,46
690,1,6,1,1,1,1,19,3,3,1,8
691,3,1,1,1,1,3,9,1,3,1,40
692,2,6,1,1,1,2,1,1,3,1,27
693,1,6,1,1,1,1,9,3,2,2,14
694,2,6,1,1,1,2,1,1,3,2,25
695,2,6,1,4,1,1,9,1,3,2,50
696,2,3,1,1,1,2,9,1,3,2,38
697,1,4,1,1,1,1,9,3,2,2,63
698,2,6,1,1,1,2,1,1,2,1,12
699,2,6,1,1,1,1,1,1,3,1,51
700,2,6,1,1,1,2,9,2,3,2,11
701,1,4,1,1,2,1,9,3,2,1,30
702,2,3,1,4,1,2,5,1,3,1,47
703,2,6,1,1,1,2,9,1,3,1,27
704,3,6,1,1,1,2,9,1,3,2,30
705,3,6,1,1,1,2,9,2,3,2,30
706,3,6,1,1,1,2,9,2,3,2,7
707,1,6,1,1,1,1,9,3,3,2,52
708,2,3,1,1,1,2,1,1,3,1,42
709,1,6,1,1,1,1,8,3,3,1,29
710,1,3,1,1,1,1,3,1,2,2,25
711,2,3,1,1,1,2,1,1,3,1,44
712,4,3,1,1,1,2,9,1,3,2,73
713,4,3,1,1,1,3,9,2,3,2,25
714,4,3,1,1,1,3,9,2,3,2,31
715,2,2,1,1,1,2,9,1,3,2,43
716,2,6,1,1,1,1,9,2,3,2,10
717,2,6,1,1,1,2,9,1,3,1,35
718,2,6,1,1,1,1,2,1,3,1,26
719,2,3,1,1,1,2,1,1,3,1,38
720,1,6,1,1,1,1,4,3,3,1,28
721,2,6,1,1,1,2,4,1,3,1,37
722,1,6,1,1,1,1,11,2,3,2,51
723,2,6,1,1,1,2,9,1,3,1,77
724,2,6,1,1,1,2,1,1,3,1,24
725,1,6,1,1,1,1,9,3,3,2,12
726,2,6,1,1,1,1,9,1,3,2,27
727,2,6,1,1,1,2,1,1,2,2,22
728,2,6,1,4,1,1,9,1,3,2,35
729,1,1,1,1,1,1,9,1,3,1,21
730,2,6,1,1,1,1,1,1,3,1,16
731,1,4,1,1,1,1,5,3,2,2,44
732,2,6,1,1,1,1,5,1,3,1,60
733,2,6,1,1,1,2,9,1,3,2,40
734,2,4,1,1,1,2,1,1,3,1,31
735,4,1,1,1,1,2,9,1,3,1,55
736,4,1,1,1,1,3,9,1,3,1,47
737,2,4,1,1,1,2,11,2,2,2,63
738,2,4,1,1,1,2,11,2,3,2,44
739,2,4,1,1,1,2,11,2,3,2,40
740,2,6,2,1,2,2,3,1,3,1,22
741,2,6,1,1,1,2,9,2,3,2,30
742,2,6,2,1,2,1,1,1,2,1,19
743,2,6,1,1,1,2,9,1,3,2,26
744,2,3,2,1,2,2,9,1,3,2,60
745,2,3,2,1,2,2,9,2,3,1,59
746,2,3,1,1,1,2,9,2,3,2,25
747,2,3,1,1,4,1,9,1,2,2,38
748,2,3,1,1,4,2,19,1,3,1,28
749,2,3,1,1,1,1,1,1,3,2,20
750,2,6,1,1,1,1,9,1,3,2,68
751,2,6,1,1,1,2,8,1,3,1,52
752,2,6,1,1,1,2,8,2,3,2,19
753,1,3,1,7,1,1,8,3,3,2,30
754,2,3,1,4,1,2,1,1,1,1,25
755,2,1,1,1,1,1,9,2,3,1,4
756,3,1,1,1,1,1,9,1,3,1,36
757,3,1,1,1,1,2,9,1,3,1,31
758,3,1,1,1,1,2,9,2,3,2,29
759,3,1,1,1,1,2,9,2,3,2,1
760,2,3,1,1,1,2,9,1,3,1,54
761,2,6,1,1,1,2,1,1,3,1,46
762,3,1,1,1,1,1,9,1,3,1,44
763,3,1,1,1,1,1,9,2,3,1,52
764,3,1,1,1,1,2,9,1,3,1,56
765,3,1,1,1,1,2,9,2,3,1,39
766,3,1,1,1,1,3,9,1,3,2,46
767,2,6,1,1,1,2,9,1,3,2,54
768,3,6,1,1,1,1,9,1,3,2,61
769,2,6,1,1,1,1,5,1,2,1,61
770,2,3,1,1,1,1,1,1,2,1,49
771,2,3,1,4,1,2,9,1,3,1,59
772,2,3,1,1,1,2,5,1,3,1,46
773,2,6,1,1,1,1,9,1,3,2,39
774,1,6,1,1,1,1,9,3,3,1,11
775,1,6,2,1,2,1,9,3,3,2,70
776,3,3,2,1,2,1,9,2,3,1,15
777,3,3,2,1,2,1,9,2,3,2,21
778,1,6,1,1,1,1,11,2,3,2,71
779,1,6,1,1,1,1,9,3,2,1,33
780,2,6,1,1,1,2,9,1,3,2,46
781,1,6,1,1,1,1,11,2,3,2,30
782,1,6,1,1,1,1,11,2,3,2,2
783,2,3,1,1,1,2,9,2,3,2,75
784,2,6,1,1,1,2,1,1,3,1,52
785,1,6,1,1,1,1,9,3,2,2,7
786,1,6,1,1,1,1,9,3,2,2,35
787,1,6,1,1,1,1,8,3,2,1,55
788,3,6,2,4,1,3,9,1,3,2,41
789,3,6,2,4,1,3,9,2,3,1,30
790,1,3,1,4,1,1,9,3,3,1,21
791,1,6,1,4,1,1,9,1,3,1,23
792,3,3,1,1,1,1,9,1,3,1,33
793,3,3,1,1,1,2,9,1,3,1,48
794,2,6,2,1,1,1,8,2,3,2,22
795,2,6,1,1,1,2,9,1,3,2,32
796,2,6,1,1,1,2,9,2,3,2,11
797,2,6,1,1,1,2,9,2,3,2,11
798,1,6,1,1,1,1,9,3,2,1,82
799,2,6,2,1,2,2,9,1,3,1,55
800,2,6,1,1,1,2,3,1,2,1,29
801,2,6,1,1,1,2,1,1,3,1,52
802,2,4,2,1,2,2,9,1,3,1,51
803,1,6,2,1,1,1,9,3,3,1,13
804,1,3,1,1,1,1,9,1,2,1,35
805,2,6,2,1,2,2,1,1,3,1,27
806,4,3,2,1,1,3,9,1,3,2,48
807,2,6,2,1,2,2,9,1,3,1,37
808,2,3,2,1,2,2,1,1,2,1,40
809,1,3,2,4,2,1,9,1,3,2,30
810,2,6,2,1,2,2,9,1,2,1,66
811,2,6,2,1,2,2,9,2,2,2,60
812,2,3,2,1,2,2,9,1,3,2,27
813,2,3,2,1,2,2,9,2,3,1,3
814,2,6,2,1,2,2,1,1,3,1,11
815,2,3,1,1,1,2,9,1,3,2,46
816,5,2,1,1,1,3,9,2,3,2,64
817,2,6,2,1,1,1,9,1,3,2,22
818,2,6,2,1,1,2,9,2,3,2,61
819,2,6,2,1,1,2,9,1,3,1,53
820,2,6,1,1,1,2,9,1,3,1,53
821,1,6,2,1,2,1,8,3,3,2,13
822,1,6,2,1,2,1,9,3,3,1,5
823,2,6,1,7,1,1,9,1,2,1,32
824,2,6,1,7,1,2,9,1,2,1,21
825,2,6,1,1,1,1,9,3,2,2,48
826,2,3,1,1,1,1,9,1,3,1,48
827,2,3,1,1,1,2,9,2,3,1,20
828,1,6,1,1,1,1,9,3,3,1,8
829,1,3,1,1,1,1,1,1,3,2,25
830,2,3,1,1,1,1,3,1,3,1,21
831,2,3,1,1,1,1,9,1,3,2,24
832,2,3,1,1,1,2,9,2,3,2,74
833,1,6,1,1,1,1,9,3,2,2,12
834,2,6,2,1,2,2,1,1,3,1,14
835,2,3,2,1,2,2,1,1,3,1,48
836,2,1,2,4,2,2,17,1,3,1,65
837,2,6,2,1,2,2,1,1,3,1,23
838,2,6,1,1,1,1,9,1,3,1,33
839,2,6,1,1,1,2,3,1,2,1,23
840,2,6,1,1,1,2,3,1,3,1,43
841,2,6,1,1,1,2,1,1,3,1,16
842,2,3,1,1,1,2,9,1,3,1,23
843,3,3,1,1,1,3,9,1,3,2,32
844,3,3,1,1,1,3,9,2,3,2,32
845,2,6,1,1,1,1,9,1,3,1,45
846,2,6,1,1,1,2,9,2,3,2,47
847,2,6,1,1,1,1,1,1,3,2,48
848,1,6,1,1,1,1,9,3,2,1,38
849,2,3,1,1,1,2,9,1,3,2,28
850,2,6,1,1,1,2,9,1,3,1,28
851,2,3,1,1,1,2,1,1,3,1,26
852,2,6,1,1,1,2,1,1,3,1,28
853,3,1,1,1,1,1,9,2,3,2,6
854,1,1,2,6,2,1,9,1,3,1,68
855,2,6,1,1,1,1,9,1,3,1,23
856,2,6,1,1,1,1,9,2,3,1,3
857,2,6,1,1,1,2,9,1,3,2,52
858,1,3,1,1,1,1,9,3,3,2,13
859,2,3,1,1,1,1,9,1,3,2,39
860,2,3,1,1,1,2,9,1,3,1,74
861,3,6,1,1,1,3,1,1,2,1,13
862,2,6,1,1,1,1,9,2,2,1,13
863,2,6,1,1,1,1,9,2,3,1,23
864,2,6,1,1,1,2,19,1,3,2,52
865,2,6,1,1,1,2,19,2,3,1,56
866,2,1,1,1,1,1,9,1,3,2,21
867,1,6,2,1,1,1,9,3,3,2,67
868,2,6,2,1,1,2,9,1,3,2,71
869,2,3,1,1,1,2,9,1,3,1,56
870,2,3,1,1,1,2,1,1,2,1,36
871,2,6,1,1,1,1,9,1,3,1,24
872,2,6,1,1,1,2,9,1,3,2,25
873,2,6,1,1,1,1,9,2,3,2,19
874,3,6,2,4,2,2,9,1,3,1,48
875,6,3,2,1,1,1,9,1,2,1,33
876,6,3,2,1,1,1,9,2,2,1,17
877,6,3,2,1,1,1,9,2,1,1,34
878,6,3,2,1,1,1,9,2,2,1,25
879,6,3,2,1,1,1,9,2,1,1,26
880,6,3,2,1,1,2,9,1,2,1,59
881,6,3,2,1,1,4,9,1,3,1,26
882,2,6,1,1,1,2,3,1,3,1,47
883,2,6,1,1,1,1,3,1,3,1,22
884,1,6,2,1,1,1,9,3,3,2,51
885,2,3,1,1,1,2,9,1,3,2,38
886,2,6,1,1,1,1,9,1,2,1,29
887,1,6,1,1,1,1,9,3,3,1,6
888,2,4,1,1,1,1,9,1,3,2,52
889,2,4,1,1,1,2,9,1,3,2,22
890,2,3,1,1,1,1,9,2,3,1,20
891,2,3,1,1,1,2,9,2,3,2,40
892,1,6,1,1,1,1,9,3,3,2,38
893,2,6,1,1,1,2,5,1,2,1,41
894,2,3,1,1,1,2,1,1,3,1,33
895,2,6,1,1,1,1,9,1,2,2,83
896,1,6,1,1,1,1,9,3,3,1,7
897,1,6,1,1,1,1,9,3,3,1,3
898,2,6,1,1,1,2,1,1,2,1,56
899,1,1,1,1,1,1,5,1,3,1,61
900,3,1,1,1,1,1,10,2,3,1,45
901,3,1,1,1,1,3,9,1,3,2,30
902,3,1,1,1,1,1,10,2,3,1,27
903,2,6,1,4,1,2,2,1,3,1,16
904,2,6,2,4,2,1,9,1,3,1,20
905,2,6,2,4,2,2,9,1,3,2,41
906,1,2,1,1,1,1,21,1,3,1,49
907,2,6,1,1,1,2,1,1,3,1,33
908,1,6,1,1,1,1,9,3,3,1,24
909,2,3,1,1,1,2,9,1,3,2,55
910,3,4,1,1,1,2,9,1,3,2,36
911,3,4,1,1,1,2,9,2,3,2,24
912,2,3,1,1,1,2,1,1,3,1,32
913,2,4,1,1,1,2,1,1,3,1,27
914,2,3,1,1,1,2,9,1,3,1,21
915,2,6,1,1,1,2,9,1,3,1,22
916,2,6,1,1,1,2,9,2,3,2,23
917,2,6,1,1,1,2,9,1,3,2,31
918,1,6,1,1,1,1,9,1,3,2,45
919,1,6,1,1,1,1,9,3,3,2,2
920,1,3,1,1,1,1,9,3,3,1,30
921,2,3,1,1,1,2,1,1,3,1,37
922,2,6,1,1,1,2,9,1,2,1,19
923,2,6,1,1,1,2,9,2,2,1,25
924,2,6,1,1,1,1,9,1,3,1,29
925,2,6,1,1,1,2,9,1,3,2,27
926,2,6,1,1,1,2,9,2,3,2,18
927,2,3,1,1,1,2,9,1,3,2,33
928,1,3,1,1,1,1,11,2,3,2,29
929,1,6,1,7,1,1,9,3,3,2,25
930,2,3,1,1,1,2,1,1,3,1,43
931,2,6,1,1,1,2,11,2,3,2,44
932,2,6,1,1,1,2,1,1,2,1,52
933,2,6,1,1,1,1,1,1,3,2,30
934,1,6,1,1,1,1,9,3,3,2,8
935,1,6,1,1,1,1,22,3,3,1,47
936,1,6,1,1,1,1,9,3,3,2,5
937,2,3,1,1,1,1,1,1,3,2,40
938,2,3,1,1,1,1,9,1,3,2,17
939,2,3,1,1,1,2,9,2,3,2,2
940,2,3,1,1,1,2,9,1,3,1,25
941,2,3,1,1,1,2,9,2,3,2,34
942,2,3,1,1,1,2,9,2,3,2,27
943,2,3,1,1,1,2,9,2,3,2,27
944,3,5,1,1,1,2,9,1,3,2,28
945,3,5,1,1,1,2,9,2,3,2,23
946,2,3,1,1,1,1,4,1,3,1,23
947,1,6,1,1,1,1,9,3,2,1,10
948,2,3,1,1,1,1,9,1,3,2,33
949,1,6,1,4,1,1,9,2,1,1,23
950,1,6,1,4,1,1,9,2,3,1,20
951,1,6,1,4,1,1,9,2,2,1,22
952,1,6,1,4,1,1,9,1,2,1,30
953,2,3,1,1,1,1,9,1,3,2,41
954,2,4,1,1,1,2,1,1,3,1,26
955,2,6,1,1,1,2,1,1,3,1,35
956,4,6,1,1,1,1,9,3,2,1,34
957,1,6,1,1,1,1,4,3,3,1,16
958,1,6,1,1,1,1,9,3,3,1,48
959,2,3,1,1,1,2,1,1,3,1,21
960,2,3,1,1,1,2,9,1,3,2,28
961,3,3,1,1,1,2,9,1,3,1,26
962,2,1,1,1,1,1,19,1,3,1,43
963,2,1,1,1,1,2,9,1,3,1,63
964,1,6,1,1,1,1,9,3,2,1,6
965,2,3,1,1,1,2,4,1,3,1,39
966,1,6,1,1,1,1,9,3,3,1,8
967,2,6,1,1,1,1,9,1,3,1,57
968,2,6,1,1,1,2,9,1,3,2,32
969,2,6,1,1,1,2,9,2,3,1,79
970,2,6,1,1,1,2,9,2,3,2,56
971,1,6,1,1,1,1,8,3,3,1,64
972,2,3,1,1,1,2,3,1,3,1,49
973,2,3,1,1,1,2,3,1,3,1,29
974,2,6,1,1,1,2,9,1,3,2,35
975,1,2,1,1,1,1,5,1,2,1,58
976,1,6,1,1,1,1,9,3,3,1,11
977,2,6,1,1,1,2,9,1,3,2,32
978,1,6,1,1,1,1,9,1,2,1,19
979,2,3,1,4,1,1,9,3,1,1,30
980,1,6,2,4,2,1,8,3,3,1,30
981,2,6,1,1,1,2,9,1,3,1,25
982,2,6,1,1,1,2,9,2,3,2,27
983,2,3,1,1,1,2,3,1,3,1,38
984,2,3,1,1,1,1,9,1,3,2,26
985,2,3,1,1,1,2,9,1,3,1,49
986,2,6,1,1,1,1,9,1,3,1,44
987,2,6,1,1,1,2,9,2,3,1,23
988,2,4,1,1,1,1,1,1,3,1,34
989,1,6,1,1,1,1,9,3,3,1,12
990,2,3,1,1,1,1,9,1,3,1,75
991,2,3,1,1,1,2,9,1,3,1,35
992,2,3,1,1,1,2,9,2,3,1,16
993,2,4,1,1,1,1,1,1,3,1,27
994,2,3,1,1,1,2,9,1,3,1,51
995,2,4,1,1,1,2,1,1,3,1,55
996,1,6,1,1,1,1,11,3,2,1,85
997,2,6,1,1,1,1,1,1,3,1,44
998,2,3,1,1,1,2,1,1,3,1,41
999,1,6,1,1,1,1,8,2,3,2,64
1000,2,3,1,1,1,1,9,1,3,1,29
1001,2,3,1,1,1,2,9,1,3,2,34
1002,2,6,1,1,1,1,1,1,3,1,15
1003,2,6,1,1,1,2,9,1,3,1,45
1004,2,6,1,1,1,1,1,1,3,1,31
1005,1,6,1,1,1,1,2,1,3,1,23
1006,4,1,1,1,1,2,9,1,3,1,55
1007,4,1,1,1,1,3,9,1,3,1,40
1008,4,1,1,1,1,3,9,2,2,1,13
1009,4,1,1,1,1,4,9,1,3,1,27
1010,4,1,1,1,1,4,9,2,3,2,26
1011,2,3,2,1,1,2,1,1,2,1,22
1012,2,3,2,1,2,2,1,1,3,1,41
1013,3,3,2,1,2,2,19,1,3,1,53
1014,1,3,2,1,1,1,9,1,3,2,23
1015,1,3,2,1,1,1,9,2,3,1,22
1016,1,3,2,1,1,1,9,2,3,1,23
1017,4,6,2,6,1,2,9,1,2,1,70
1018,4,6,2,6,1,2,9,2,3,2,70
1019,4,6,2,6,1,4,9,1,2,2,46
1020,2,6,2,4,1,2,9,1,3,2,45
1021,1,6,1,1,1,1,97,1,2,1,48
1022,2,6,1,1,1,2,4,1,3,1,53
1023,2,6,1,1,1,2,1,1,3,1,8
1024,2,1,1,1,1,1,9,2,3,1,14
1025,2,1,1,1,1,2,9,1,3,2,52
1026,1,6,1,1,1,1,9,1,3,2,51
1027,2,1,1,1,1,1,9,1,3,1,19
1028,2,1,1,1,1,2,9,1,3,1,27
1029,2,1,1,1,1,2,9,2,3,2,59
1030,2,1,1,1,1,2,9,2,3,1,6
1031,2,6,1,1,1,1,9,1,3,1,32
1032,2,3,1,1,1,2,1,1,3,2,25
1033,1,6,1,1,1,1,5,1,2,1,20
1034,2,6,1,1,1,1,9,1,3,2,27
1035,2,6,2,1,2,1,9,1,3,1,30
1036,2,6,2,1,2,2,9,1,3,1,67
1037,2,6,2,1,2,2,9,2,3,2,67
1038,2,3,2,1,1,1,9,1,3,2,20
1039,2,3,2,1,1,2,9,1,2,2,32
1040,2,3,2,1,1,2,9,2,3,1,32
1041,2,6,1,1,1,1,9,1,3,2,18
1042,2,6,1,4,1,1,1,1,3,1,19
1043,2,6,1,1,1,2,9,1,3,2,35
1044,2,6,1,1,1,2,9,1,3,2,33
1045,2,6,1,1,1,1,1,1,2,1,16
1046,1,6,1,1,1,1,11,2,3,2,77
1047,2,6,1,1,1,2,9,1,3,2,41
1048,2,6,1,1,1,2,9,2,3,2,13
1049,2,6,1,1,1,1,3,1,2,1,19
1050,2,6,1,1,1,2,1,1,3,1,41
1051,2,6,1,1,1,2,1,1,2,2,45
1052,2,3,1,1,1,2,9,1,3,1,60
1053,3,6,1,1,1,2,9,1,2,1,34
1054,1,4,2,1,1,1,8,3,3,2,12
1055,1,4,2,1,1,1,8,2,3,2,30
1056,1,4,2,1,1,1,8,2,3,2,7
1057,1,3,2,1,2,1,9,1,3,2,20
1058,1,3,2,1,2,1,9,1,3,1,21
1059,1,3,2,4,1,1,9,1,3,1,24
1060,1,3,2,4,1,1,9,2,3,2,22
1061,1,3,2,4,1,1,9,2,3,1,21
1062,2,6,1,1,1,1,9,1,3,1,30
1063,2,6,1,1,1,1,9,1,3,1,56
1064,2,6,2,4,2,2,9,1,3,1,34
1065,1,6,1,1,1,1,11,2,3,2,51
1066,2,3,1,1,1,2,9,1,3,2,42
1067,2,3,1,1,1,2,1,1,2,2,68
1068,2,6,1,1,1,2,1,1,3,1,29
1069,2,6,1,1,1,2,3,1,2,1,27
1070,1,3,2,1,1,1,9,3,3,1,8
1071,2,3,2,1,2,1,9,1,2,2,64
1072,2,3,2,1,2,2,9,1,3,2,45
1073,1,6,1,1,1,1,9,3,3,1,4
1074,1,3,1,1,1,1,11,3,3,1,30
1075,2,6,1,1,1,1,5,1,2,1,27
1076,2,6,1,1,1,1,5,2,2,1,13
1077,1,6,1,1,1,1,11,3,3,2,40
1078,2,3,2,1,1,2,4,1,2,1,25
1079,1,6,1,1,1,1,11,2,3,1,28
1080,2,3,1,1,1,2,9,1,3,1,57
1081,4,1,1,1,1,4,9,1,3,2,55
1082,4,1,1,1,1,3,9,1,3,2,21
1083,4,1,1,1,1,2,9,1,3,1,58
1084,2,1,1,1,1,2,9,1,3,2,63
1085,1,6,1,1,1,1,11,3,3,2,27
1086,2,6,1,1,1,1,9,1,3,2,27
1087,2,6,1,1,1,2,9,1,3,1,52
1088,2,6,1,1,1,2,3,1,3,1,17
1089,4,3,1,4,1,1,9,1,3,2,36
1090,4,3,1,4,1,2,9,1,3,2,26
1091,3,6,1,1,1,1,2,1,3,1,22
1092,2,6,1,1,1,1,9,1,2,1,35
1093,2,3,1,1,1,2,1,1,2,1,33
1094,2,6,1,1,1,1,3,1,2,1,16
1095,2,6,1,1,1,1,3,2,3,1,17
1096,2,3,1,1,1,2,1,1,3,2,29
1097,1,3,1,5,1,1,9,1,3,1,21
1098,1,6,1,1,1,1,9,3,3,1,37
1099,2,6,1,1,1,1,1,1,3,1,12
1100,1,2,1,1,1,1,9,1,2,2,61
1101,2,3,1,1,1,2,1,1,3,1,28
1102,2,1,1,1,1,1,9,1,3,2,19
1103,2,1,1,1,1,2,9,1,3,1,20
1104,1,3,1,1,1,1,9,3,3,1,39
1105,2,6,1,1,1,2,5,1,2,1,61
1106,1,3,2,1,2,1,3,1,2,1,41
1107,2,6,2,1,2,2,9,1,3,1,60
1108,1,2,1,1,1,1,9,1,3,2,25
1109,1,2,1,1,1,1,9,2,3,1,26
1110,1,6,2,1,2,1,9,3,3,2,47
1111,2,6,1,1,1,1,19,1,3,1,21
1112,3,3,1,1,1,3,9,1,3,1,64
1113,3,3,1,4,1,1,9,2,2,2,17
1114,2,3,1,1,1,2,9,1,3,2,24
1115,1,6,1,1,1,1,9,3,3,1,41
1116,3,6,1,1,1,2,9,2,3,1,17
1117,2,6,1,1,1,2,9,1,3,1,39
1118,2,6,1,1,1,2,1,1,2,1,52
1119,2,6,1,1,1,2,3,1,3,1,36
1120,2,6,2,1,1,2,3,1,2,1,49
1121,3,6,2,4,1,1,9,1,2,2,50
1122,2,6,1,1,1,1,9,1,3,1,67
1123,2,6,1,1,1,1,9,2,3,2,74
1124,2,6,1,1,1,1,9,2,3,1,63
1125,1,6,1,1,1,1,3,1,2,1,51
1126,4,6,1,1,1,1,9,1,3,1,21
1127,2,6,2,1,1,1,11,2,3,2,68
1128,1,6,1,1,1,1,19,1,3,1,35
1129,1,6,1,1,1,1,19,2,3,1,35
1130,1,6,1,1,1,1,19,2,3,1,29
1131,2,6,1,1,4,2,9,1,3,1,70
1132,3,6,1,1,1,1,9,1,3,2,31
1133,3,6,1,1,1,1,9,2,3,2,4
1134,1,6,1,1,1,1,9,3,2,2,39
1135,2,6,1,1,1,2,9,1,3,2,26
1136,1,3,2,1,2,1,11,3,3,1,51
