,Number of Vehicles,1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Vehicle Number,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
129,3,3,2,4,1,3,9,1,3,2,24
130,2,3,1,5,1,2,9,1,3,2,54
131,2,6,1,4,1,2,9,1,3,1,47
132,2,6,2,4,1,1,9,1,3,1,30
133,2,6,2,4,1,1,9,2,3,1,33
134,2,6,2,4,1,1,9,2,3,2,32
135,2,6,2,4,1,1,9,2,3,1,30
136,2,6,2,4,1,1,9,2,3,2,32
137,2,6,1,4,1,2,9,1,3,1,47
138,1,6,1,1,1,1,8,2,3,2,24
139,2,6,1,7,1,1,9,2,3,2,19
140,2,6,1,7,1,1,9,2,3,2,18
141,2,6,2,4,1,2,5,1,2,1,53
142,2,6,4,1,1,1,9,1,3,2,22
143,2,6,1,1,1,1,9,1,3,1,52
144,2,6,1,1,1,2,9,1,3,2,40
145,1,6,1,1,1,1,9,3,3,1,15
146,3,1,1,4,1,1,9,1,3,1,36
147,3,1,1,4,1,2,9,1,3,1,22
148,3,1,1,4,1,3,9,1,3,1,43
149,2,3,1,1,1,1,9,1,3,1,47
150,1,6,1,1,1,1,8,3,3,2,62
151,2,3,2,1,1,2,1,1,2,1,74
152,1,6,2,1,1,1,9,3,3,2,4
153,2,6,1,4,1,2,9,1,3,2,35
154,2,6,1,4,1,2,9,3,3,2,42
155,1,6,1,1,1,1,9,3,3,2,39
156,1,6,1,1,1,1,9,3,3,1,44
157,2,6,1,1,1,2,22,1,3,2,11
158,3,3,1,1,1,2,9,1,3,1,45
159,3,2,2,4,1,3,9,1,3,1,28
160,2,1,2,4,1,1,9,1,3,1,51
161,2,3,4,1,1,1,9,1,3,2,39
162,2,6,3,1,3,2,9,1,3,1,72
163,4,6,1,1,1,1,9,1,3,1,29
164,4,6,1,1,1,2,9,2,3,2,88
165,2,4,2,4,1,1,9,2,3,2,22
166,2,6,1,4,1,2,9,1,3,2,27
167,2,4,3,1,1,1,9,1,3,1,35
168,2,2,1,1,1,1,9,2,1,2,77
169,2,2,1,1,1,1,9,2,3,2,51
170,2,2,1,1,1,1,9,1,3,1,71
171,2,6,1,1,1,1,9,1,3,2,31
172,2,6,1,1,1,2,9,1,3,1,42
173,2,6,1,1,1,2,9,1,3,2,20
174,2,6,1,1,1,2,9,2,3,2,30
175,2,3,1,1,1,1,9,2,3,2,33
176,1,6,2,1,1,1,9,3,2,1,63
177,1,6,4,4,1,1,9,3,3,1,43
178,3,3,4,4,1,1,9,2,2,1,21
179,2,6,2,4,1,2,1,1,3,1,27
180,1,6,4,4,1,1,9,3,2,1,16
181,2,3,1,1,1,1,8,1,3,1,62
182,2,3,1,1,1,1,8,2,3,2,45
